Reference,Value,Footprint,Mouser Part Number,quantity,Description,Price 1,Package Price,Stock,Data Sheet URL,Min\Mult Order Qty,Quoted Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobiconn,BARREL_JACK,audio:161-0725-E,161-0725-E,1,DC Power Connectors DC Power Connectors 2.5mm LOCKING,$1.14,$0.80,"11,465",http://www.mouser.com/ds/2/253/KC-300861-202543.pdf,1\1,161-0725-E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neutrik,TRS_Jack,audio:0.25-jack,568-RJ3VM-D1,8,"Phone Connectors Phone Connectors 1/4"" Vert TRS Jack Alt PCB Contact",$0.80,$0.659,298,http://www.rean-connectors.com/zoolu-website/media/download/12253/Drawing+RJ3VM-D1,1\1,568-RJ3VM-D1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mill-Max,pdip socket,audio:PDIP-8,575-113308,6,IC & Component Sockets IC & Component Sockets 8P GLD PIN GLD CONT,$0.77,$0.71,"4,119",http://www.mouser.com/ds/2/273/090-259652.pdf,1\1,575-113308,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Instruments,NE5532,audio:PDIP-8,595-NE5532P,6,Operational Amplifiers - Op Amps Operational Amplifiers - Op Amps Dual Low Noise,$0.93,$0.801,"11,876",http://www.mouser.com/ds/2/405/ne5532-556029.pdf,1\1,595-NE5532P,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOA Speer,15k,audio:Resistor_Horizontal_RM10mm,660-MF1/4DCT52R1502F,16,Metal Film Resistors - Through Hole Metal Film Resistors - Through Hole 1/4W 15K ohm 1% 15K OHM 1%,$0.12,$0.01,"13,308",http://www.mouser.com/ds/2/219/MF-MFS-RK-18760.pdf,1\1,660-MF1/4DCT52R1502F,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOA Speer,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1002,36,Metal Film Resistors - Through Hole Metal Film Resistors - Through Hole 1/4W 10K ohm 1%,$0.10,$0.048,"5,182",http://www.mouser.com/ds/2/219/MF-MFS-RK-18760.pdf,1\1,660-MS1/4DCT52R1002,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPS,100k,audio:RK09D117000C,688-RK09D117000C,16,Potentiometers Potentiometers Single Unit-Single Shaft (KX) Vertical  W/300 Deg.Rot. W/Collar,$0.39,$0.39,,http://www.alps.com/WebObjects/catalog.woa/E/HTML/Potentiometer/RotaryPotentiometers/RK09K/RK09D117000C_3dcad.html,1\1,688-RK09D117000C,,,,,,,,,,,,,,,,,,,,,,,,,,,
